专家姓名,客户姓名,商机等级,客户描述
张三,王先生,A,"客户30岁，想买增程SUV，预算30-35万，主要用于家庭出行和周末带孩子去郊游。决策人是他本人但需要和妻子商量。目前在对比理想L7和蔚来ES6，计划在3个月内完成购买。比较关注续航里程和智能驾驶功能，手上有一辆宝马3系想置换。"
张三,李女士,B,"客户看中理想L8，家里有两个孩子，需要6座车。预算在40万左右，主要用于市内通勤和周末郊游。她本人决策，对比了问界M8。关注空间和舒适性，计划1个月内购买。目前开的是奥迪Q5，想置换。"
张三,赵总,A,"客户是企业主，想买纯电车MEGA，预算60万以上。主要用于商务接待和长途出行。他自己决策，对比了腾势D9和极氪009。最看重豪华感和充电速度，计划马上购买。目前有奔驰V级，打算增购。"
张三,孙女士,C,"客户对新能源车感兴趣，预算25-30万，家里3口人。主要用途是上下班通勤。对比了几个品牌，还在观望中，没有明确购买时间。"
李四,陈先生,B,"客户35岁，互联网从业者，想买增程车，预算35万左右，主要用于家庭出行。他本人决策，在对比理想L7和小鹏G9，关注智能驾驶和续航，计划3个月内购买。家里4口人，目前开特斯拉Model 3，打算置换。"
李四,周女士,A,"客户看中L6，预算30万，主要市内通勤用，偶尔周末短途。她和老公一起决策，对比了问界M7。最关注价格和保值率，计划1个月内买。家里2口人，首次购车。"
李四,吴先生,C,"客户了解了一下理想的车，说家里有老人和孩子。预算不太确定，对比了很多品牌。主要顾虑是价格和品质，时间上不着急，再看看。"
李四,郑女士,B,"客户想买纯电车，预算40万左右，看了理想i8。主要用于长途自驾游，家里3口人。她本人决策，对比蔚来ES6。关注续航和充电便利性，计划半年内购买。目前开比亚迪汉，想增购。"
王五,刘总,A,"客户是公司老板，要买MEGA，预算不限。主要商务用车和接送客户。他自己决策，对比了腾势D9。最看重空间、舒适度和科技配置，立即购买。现有车辆是丰田埃尔法，置换。"
王五,黄先生,B,"客户看L9，预算50万，家庭出行为主。家里5口人包括老人和孩子。他和家人商量后决策，对比问界M9。关注空间、安全和舒适，3个月内买。目前开大众途昂，置换。"
王五,林女士,C,"客户对理想品牌有兴趣，想了解新能源车。家里情况和预算都没说清楚，也没提用车场景。对比了蔚来和小鹏，说再考虑考虑。"
赵六,杨先生,A,"客户28岁，科技公司员工，要买增程L7，预算35万。主要通勤和周末出游，家里3口人。他本人决策，对比特斯拉Model Y。最关注智能驾驶和续航，1个月内买。现开本田雅阁，置换。"
赵六,冯女士,B,"客户看理想L8，预算40-45万，家庭用车。两个孩子需要6座，主要市内通勤和长途自驾。她和老公商量，对比了蔚来ES8。关注空间、智能化和安全性，3个月内购买。目前开别克GL8，想置换。"
赵六,许先生,C,"客户来店里看了看车，说想买新能源车。没说预算，没说家庭情况，也没明确对比哪些车。看着是随便看看，时间上也不急。"
钱七,秦女士,A,"客户看中纯电i6，预算32万，主要市内短途通勤。她自己决策，家里2口人。对比了特斯拉Model Y和小鹏G6。最看重充电速度和智能配置，近期就要买。首次购车，无置换。"
钱七,尤先生,B,"客户想买L7，预算38万，家庭出行和长途自驾。家里4口人，他本人主导但要和妻子商量。对比蔚来ES7和问界M7 Plus。关注续航、空间和舒适性，2个月内购买。现开丰田汉兰达，置换。"
